Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,0.00040217,-1.0547E-15,0.0011895,0,0,0,119.07,3.1118,-7.9288E-13,2.245E-05,36.378,-2.1445E-15,36.379,0,0,0,0,0,0,package://starship-mini/meshes/body.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://starship-mini/meshes/body.STL,,Body^starship-mini-1,origin_body,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_Leg_R,0.00042808,-0.075147,0.0011883,0,0,0,5.4307,0.014344,-0.011727,-3.1322E-14,0.11851,-3.6568E-14,0.1322,0,0,0,0,0,0,package://starship-mini/meshes/Link_Leg_R.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://starship-mini/meshes/Link_Leg_R.STL,,Leg_R^starship-mini-2,origin_Leg_R,axis_Leg_R,Joint_Leg_R,revolute,-0.6302,-0.19643,0,0,0,0,body,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Link_Leg_L,0.00042808,0.075147,0.0011883,0,0,0,5.4307,0.014344,0.011727,-2.9461E-16,0.11851,8.2908E-20,0.1322,0,0,0,0,0,0,package://starship-mini/meshes/Link_Leg_L.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://starship-mini/meshes/Link_Leg_L.STL,,Leg_L^starship-mini-1,origin_Leg_L,axis_Leg_L,Joint_Leg_L,revolute,-0.6302,0.19643,0,0,0,0,body,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Link_Arm_R,0.00014768,-0.050416,0.0011883,0,0,0,1.9535,0.0024956,-0.0016703,3.6378E-17,0.011631,-6.6753E-18,0.013902,0,0,0,0,0,0,package://starship-mini/meshes/Link_Arm_R.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://starship-mini/meshes/Link_Arm_R.STL,,Arm_R^starship-mini-1,origin_Arm_R,axis_Arm_R,Joint_Arm_R,revolute,0.69204,-0.18622,0,0,0,0.1782,body,-1,0,0,0,0,-1.57,1.57,,,,,,,,
Link_Arm_L,0.00014768,0.050416,0.0011883,0,0,0,1.9535,0.0024956,0.0016703,-1.7101E-14,0.011631,2.3179E-14,0.013902,0,0,0,0,0,0,package://starship-mini/meshes/Link_Arm_L.STL,0.77647,0.75686,0.73725,1,0,0,0,0,0,0,package://starship-mini/meshes/Link_Arm_L.STL,,Arm_L^starship-mini-1,origin_Arm_L,axis_Arm_L,Joint_Arm_L,revolute,0.69204,0.18622,0,0,0,-0.1782,body,-1,0,0,0,0,-1.57,1.57,,,,,,,,
